session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,gaze_scale
1,0,1,4.8,7.364523552935914,0.0,7,35
1,0,2,3.6,10.284456865776326,0.0,7,35
1,0,3,3.4,9.099812163689979,0.0,7,35
1,0,4,3.0,13.073893659359783,0.0,7,35
1,0,5,3.0,9.242071853954917,0.0,7,35
1,0,6,3.0,9.887231925716387,0.0,7,35
1,0,7,2.8,10.910389129564887,0.0,7,35
1,0,8,3.0,10.436653086566157,0.0,7,35
1,0,9,2.8,12.0112626007538,0.0,7,35
1,0,10,2.8,13.609102111656323,0.0,7,35
1,0,11,2.8,18.96059955018055,0.0,7,35
1,0,12,2.8,9.80150799381533,0.0,7,35
1,0,13,2.8,14.038032565339586,0.0,7,35
1,0,14,2.8,13.852064729031023,0.0,7,35
1,0,15,2.8,11.35498505771292,0.0,7,35
1,0,16,2.8,10.547621433132173,0.0,7,35
1,0,17,3.0,10.092058021694676,0.0,7,35
1,0,18,2.6,10.82306906887769,0.0,7,35
1,0,19,3.0,14.202598144833644,0.0,7,35
1,0,20,2.8,8.776179373667414,0.0,7,35
1,0,21,2.6,11.014869177689274,0.0,6,35
2,0,1,2.8,16.340215780154775,0.0,7,35
2,0,2,2.8,10.165751292887684,0.0,7,35
2,0,3,4.0,8.645402184713248,0.125,7,35
2,0,4,2.8,11.532368106475325,0.0,7,35
2,0,5,2.8,10.15543736419799,0.0,7,35
2,0,6,2.8,10.642488351949247,0.0,7,35
2,0,7,2.8,13.81498153487588,0.0,7,35
2,0,8,2.8,10.934425153057294,0.0,7,35
2,0,9,2.8,13.435591539968362,0.0,7,35
2,0,10,2.8,11.53340373618329,0.0,7,35
2,0,11,2.8,9.736682524891377,0.0,7,35
2,0,12,3.0,12.345162617123425,0.0,7,35
2,0,13,2.8,12.16948856414355,0.0,7,35
2,0,14,2.8,12.912797777090168,0.0,7,35
2,0,15,3.0,8.501756807823723,0.0,7,35
2,0,16,2.8,13.373834920681059,0.0,7,35
2,0,17,2.8,11.375825806164146,0.0,7,35
2,0,18,2.8,11.292129180221085,0.0,7,35
2,0,19,3.0,9.91495103613189,0.0,7,35
2,0,20,2.8,11.264803714346673,0.0,7,35
2,0,21,3.0,8.625142486515331,0.0,7,35
3,0,1,3.0,8.740806716637618,0.0,7,35
3,0,2,2.8,10.801455800384433,0.0,7,35
3,0,3,2.8,11.564112318546616,0.0,7,35
3,0,4,2.8,10.356908081599341,0.0,7,35
3,0,5,2.8,8.763241615548473,0.0,7,35
3,0,6,2.6,9.694461716848462,0.0,7,35
3,0,7,2.8,9.363697810254758,0.0,7,35
3,0,8,2.8,11.325505352814583,0.0,7,35
3,0,9,2.6,15.579717032611851,0.0,7,35
3,0,10,2.8,10.976599517752142,0.0,7,35
3,0,11,3.0,11.495799981900177,0.0,7,35
3,0,12,2.8,12.56216561233288,0.0,7,35
3,0,13,3.4,8.305001892076843,0.0,7,35
3,0,14,3.0,9.437444161827031,0.0,7,35
3,0,15,2.8,14.271839373760782,0.0,7,35
3,0,16,3.0,9.390667618600977,0.0,7,35
3,0,17,2.8,13.541785184511108,0.0,7,35
3,0,18,3.0,11.389062242813678,0.0,7,35
3,0,19,2.8,10.358286749848178,0.0,7,35
3,0,20,2.8,8.434726973682475,0.0,7,35
3,0,21,2.8,10.78087523148991,0.0,7,35
3,0,22,3.0,9.560488566456426,0.0,7,35
