session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,gaze_scale
1,0,1,4.4,13.188647530054375,0.0,7,35
1,0,2,5.4,9.54766677955687,0.0,7,35
1,0,3,4.6,11.481826228257239,0.0,7,35
1,0,4,3.8,12.501554478790538,0.0,7,35
1,0,5,3.8,14.23407281549229,0.0,7,35
1,0,6,4.4,11.522680620996539,0.0,7,35
1,0,7,4.2,12.233441497158752,0.0,7,35
1,0,8,4.2,12.481999625740285,0.0,7,35
1,0,9,4.0,14.119737795904804,0.0,7,35
2,0,1,3.8,12.731887039254847,0.0,7,35
2,0,2,3.8,13.57740119733737,0.0,7,35
2,0,3,4.2,13.917283035375863,0.0,7,35
2,0,4,4.2,10.46864517885576,0.0,7,35
2,0,5,3.8,14.482297561277257,0.0,7,35
2,0,6,4.4,11.108442544875953,0.0,7,35
2,0,7,4.4,11.131243255175589,0.0,7,35
2,0,8,4.0,15.281980813375876,0.0,7,35
2,0,9,4.2,11.178401655866299,0.0,7,35
2,0,10,4.0,11.552789735068133,0.0,4,35
3,0,1,4.2,13.940940511614965,0.0,7,35
3,0,2,4.2,11.56411607388786,0.0,7,35
3,0,3,4.6,10.745534435868814,0.0,7,35
3,0,4,4.4,13.610888057269488,0.0,7,35
3,0,5,4.0,14.22820987630929,0.0,7,35
3,0,6,4.2,10.001232829317285,0.0,7,35
3,0,7,4.6,11.734688180162628,0.0,7,35
3,0,8,3.8,13.498708025505243,0.0,7,35
3,0,9,4.2,12.028583336751252,0.0,7,35
4,0,1,4.0,12.480692291197812,0.0,7,35
4,0,2,3.8,13.53243927201992,0.0,7,35
4,0,3,4.0,12.00698730895591,0.0,7,35
4,0,4,4.4,11.706386445585812,0.0,7,35
4,0,5,4.2,10.700784719406277,0.0,7,35
4,0,6,4.4,11.29238042466914,0.0,7,35
4,0,7,4.0,12.004235147897539,0.0,7,35
4,0,8,4.2,11.293029618254895,0.0,7,35
4,0,9,3.8,14.383724987025863,0.0,7,35
4,0,10,3.2,15.689827383579633,0.0,5,35
5,0,1,4.2,10.010989179118035,0.0,7,35
5,0,2,3.8,13.640893774597146,0.0,7,35
5,0,3,4.0,16.485124996544904,0.0,7,35
5,0,4,4.4,12.483463559393671,0.0,7,35
5,0,5,4.4,10.698023497258351,0.0,7,35
5,0,6,3.8,15.142740214056507,0.0,7,35
5,0,7,4.0,13.134358052281312,0.0,7,35
5,0,8,4.0,11.384858964493676,0.0,7,35
5,0,9,4.2,10.85744807157427,0.0,7,35
5,0,10,4.0,14.036582382536668,0.0,4,35
1,1,1,4.6,11.672230909786094,0.0,7,35
1,1,2,4.8,10.628860765860976,0.0,7,35
1,1,3,4.0,12.679756935327045,0.0,7,35
1,1,4,3.8,15.162132665544906,0.0,7,35
1,1,5,3.8,12.323433870089449,0.0,7,35
1,1,6,3.8,14.188091318286979,0.0,7,35
1,1,7,4.0,10.800822807298102,0.0,7,35
1,1,8,4.0,12.797093759350272,0.0,7,35
1,1,9,4.0,13.297052076594618,0.0,7,35
1,1,10,3.2,15.122396369296865,0.0,5,35
2,1,1,4.2,11.413310710690869,0.0,7,35
2,1,2,4.2,11.927049390569314,0.0,7,35
2,1,3,4.2,9.706280570231668,0.0,7,35
2,1,4,3.8,14.154131318648245,0.0,7,35
2,1,5,4.0,11.09698824031458,0.0,7,35
2,1,6,4.4,10.60760578392804,0.0,7,35
2,1,7,3.8,13.70522074073593,0.0,7,35
2,1,8,4.4,11.387244633094474,0.0,7,35
2,1,9,4.2,12.135299254022513,0.0,7,35
2,1,10,3.5,15.300665493824688,0.0,4,35
3,1,1,4.6,9.843761602599141,0.0,7,35
3,1,2,3.8,13.492891030328277,0.0,7,35
3,1,3,4.2,10.049461129488574,0.0,7,35
3,1,4,4.4,10.47867243673781,0.0,7,35
3,1,5,4.2,12.224381564665652,0.0,7,35
3,1,6,4.0,12.27660345622817,0.0,7,35
3,1,7,4.2,11.37777433325392,0.0,7,35
3,1,8,4.0,13.077193342489487,0.0,7,35
3,1,9,4.0,11.266381979022551,0.0,7,35
3,1,10,3.25,17.476402862026806,0.0,4,35
4,1,1,4.2,13.294530888121306,0.0,7,35
4,1,2,4.0,12.20768194819124,0.0,7,35
4,1,3,4.4,10.428472146582227,0.0,7,35
4,1,4,3.0,21.369144010996244,0.0,7,35
4,1,5,3.8,12.309472514885785,0.0,7,35
4,1,6,4.2,12.769304792723885,0.0,7,35
4,1,7,3.8,13.6053441188216,0.0,7,35
4,1,8,3.8,13.036079238564643,0.0,7,35
4,1,9,4.4,10.622266243351639,0.0,7,35
4,1,10,4.2,12.298553664619195,0.0,7,35
5,1,1,4.6,9.70662058086264,0.0,7,35
5,1,2,4.6,10.56162775410153,0.0,7,35
5,1,3,3.8,16.043898471360524,0.0,7,35
5,1,4,4.6,12.006813362898717,0.0,7,35
5,1,5,4.4,10.730103641268204,0.0,7,35
5,1,6,4.0,14.03232260866404,0.0,7,35
