Session Num,Phrase Num,Selection Num,Click Num,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,2,15,1,away something_different big i like ,scared who you i like see .,.,.,4.022,-0.0109,1638456308,6.184000015
1,2,15,2,away something_different big i like ,scared who you i like see .,.,.,4.022,-0.1702,1638456312,3.641000032
1,2,15,3,away something_different big i like ,scared who you i like see .,.,.,4.022,0.0399,1638456314,2.33100009
1,2,15,4,away something_different big i like ,scared who you i like see .,.,.,4.022,0.0369,1638456318,3.51699996
1,2,15,5,away something_different big i like ,scared who you i like see .,.,.,4.022,0.1942,1638456320,2.197999954
1,2,16,1,away something_different big i like ,scared who you i like see ..,.,.,4.022,1.2455,1638456323,3.416000128
1,2,16,2,away something_different big i like ,scared who you i like see ..,.,.,4.022,-0.1402,1638456326,2.847999811
1,2,16,3,away something_different big i like ,scared who you i like see ..,.,.,4.022,0.5128,1638456328,2.016000032
1,2,16,4,away something_different big i like ,scared who you i like see ..,.,.,4.022,0.0031,1638456347,19.08700013
1,2,16,5,away something_different big i like ,scared who you i like see ..,.,.,4.022,0.0917,1638456352,4.848999977
1,2,16,6,away something_different big i like ,scared who you i like see ..,.,.,4.022,-0.0089,1638456354,1.978999853
2,1,1,1,bumpy this happy have soft ,,bumpy,Options,5.429,0.0031,1642609844,0
2,1,1,2,bumpy this happy have soft ,,bumpy,Options,5.429,-0.0348,1642609847,2.986999989
2,1,2,1,bumpy this happy have soft ,bumpy ,bumpy,63,4.445,-0.0107,1642609885,37.70099998
2,1,2,2,bumpy this happy have soft ,bumpy ,bumpy,63,4.445,0.0497,1642609889,4.763999939
2,1,3,1,bumpy this happy have soft ,bumpy this ,this,17,4.445,0.0864,1642609898,8.176000118
2,1,3,2,bumpy this happy have soft ,bumpy this ,this,17,4.445,0.0487,1642609909,11.33399987
2,1,4,1,bumpy this happy have soft ,bumpy this happy ,happy,58,4.445,0.0567,1642609914,4.805999994
2,1,4,2,bumpy this happy have soft ,bumpy this happy ,happy,58,4.445,0.019,1642609926,12.73300004
2,1,5,1,bumpy this happy have soft ,bumpy this happy have ,have,37,4.445,0.1194,1642609935,8.677999973
2,1,5,2,bumpy this happy have soft ,bumpy this happy have ,have,37,4.445,0.0437,1642609936,1.101999998
2,1,6,1,bumpy this happy have soft ,bumpy this happy have soft ,soft,54,4.445,0.0984,1642609942,5.482000113
2,1,6,2,bumpy this happy have soft ,bumpy this happy have soft ,soft,54,4.445,0.1244,1642609947,4.891000032
2,1,7,1,bumpy this happy have soft ,bumpy this happy have soft .,.,.,4.445,0.0974,1642609960,13.2579999
2,1,7,2,bumpy this happy have soft ,bumpy this happy have soft .,.,.,4.445,0.0797,1642609965,4.86500001
2,1,8,1,bumpy this happy have soft ,bumpy this happy have soft ..,.,.,4.445,0.0797,1642609967,2.828999996
2,1,8,2,bumpy this happy have soft ,bumpy this happy have soft ..,.,.,4.445,0.048,1642609970,2.585999966
2,1,8,3,bumpy this happy have soft ,bumpy this happy have soft ..,.,.,4.445,0.1521,1642609973,2.713000059
2,2,9,1,big stop mad sad break ,,big,Options,4.445,0.1827,1642609986,13.16700006
2,2,9,2,big stop mad sad break ,,big,Options,4.445,0.041,1642609990,4.029999971
2,2,10,1,big stop mad sad break ,,big,Options,4.445,0.1607,1642610008,18.07500005
2,2,10,2,big stop mad sad break ,,big,Options,4.445,-0.2308,1642610010,1.529000044
2,2,10,3,big stop mad sad break ,,big,Options,4.445,-0.0007,1642610014,4.611999989
3,1,1,1,take i mine mine good ,take ,take,48,4.445,0.0577,1642613743,0
3,1,1,2,take i mine mine good ,take ,take,48,4.445,0.01,1642613745,2.544000149
3,1,1,3,take i mine mine good ,take ,take,48,4.445,0.037,1642613748,2.610999823
3,1,2,1,take i mine mine good ,take i ,i,10,4.445,-0.0414,1642613750,2.491000175
3,1,2,2,take i mine mine good ,take i ,i,10,4.445,0.1311,1642613752,1.21999979
3,1,2,3,take i mine mine good ,take i ,i,10,4.445,0.0974,1642613754,2.681000233
3,1,3,1,take i mine mine good ,take i mine ,mine,20,4.445,0.1124,1642613760,6.042999983
3,1,3,2,take i mine mine good ,take i mine ,mine,20,4.445,0.0807,1642613765,4.850999832
3,1,4,1,take i mine mine good ,take i mine mine ,mine,20,4.445,0.0527,1642613771,5.953000069
3,1,4,2,take i mine mine good ,take i mine mine ,mine,20,4.445,0.021,1642613774,2.59100008
