session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,gaze_scale
1,0,1,3.0,15.823960363134496,0.0,7,5
1,0,2,2.8,18.215218143963103,0.0,7,5
1,0,3,2.8,18.654830651889032,0.0,7,5
1,0,4,2.4,20.199969341518138,0.0,7,5
1,0,5,2.4,20.621409117354393,0.0,7,5
1,0,6,2.4,20.2686217026533,0.0,7,5
1,0,7,2.6,21.419537951106605,0.0,7,5
1,0,8,2.6,17.16803492557697,0.0,7,5
1,0,9,2.4,23.3562753728297,0.0,7,5
1,0,10,2.6,19.33227055572746,0.0,7,5
1,0,11,2.4,17.68342370628457,0.0,7,5
1,0,12,2.2,21.81238518995537,0.0,7,5
1,0,13,2.8,19.035179333208156,0.0,7,5
1,0,14,2.6,16.981951472965882,0.0,7,5
1,0,15,2.6,20.762111212022898,0.0,7,5
1,0,16,1.4,36.02031484532851,0.0,6,5
2,0,1,2.2,26.78671664955441,0.0,7,5
2,0,2,2.8,20.297922210177262,0.0,7,5
2,0,3,2.6,26.264969343680676,0.0,7,5
2,0,4,2.4,20.926575366829088,0.0,7,5
2,0,5,2.2,27.911608771221765,0.0,7,5
2,0,6,2.4,22.542417076141444,0.0,7,5
2,0,7,2.6,20.887988066215154,0.0,7,5
2,0,8,2.0,23.80769069218824,0.0,7,5
2,0,9,2.4,19.956458883581966,0.0,7,5
2,0,10,2.2,22.63784215884083,0.0,7,5
2,0,11,2.2,25.90451863166495,0.0,7,5
2,0,12,2.2,21.756511199089257,0.0,7,5
2,0,13,2.4,23.634977092248764,0.0,7,5
2,0,14,2.6,19.063728646008848,0.0,7,5
2,0,15,2.0,27.461811313354946,0.0,7,5
2,0,16,2.6,17.782722802559704,0.0,7,5
2,0,17,2.2,29.349715428814733,0.0,6,5
3,0,1,2.4,21.479122464845613,0.0,7,5
3,0,2,2.4,24.30461260335917,0.0,7,5
3,0,3,2.4,24.826816593451092,0.0,7,5
3,0,4,2.2,25.201941973288537,0.0,7,5
3,0,5,3.2,13.900668964729734,0.0,7,5
3,0,6,2.6,18.358413706676362,0.0,7,5
3,0,7,2.2,21.117317505729794,0.0,7,5
3,0,8,2.4,17.17595152595269,0.0,7,5
3,0,9,2.4,24.259309785203033,0.0,7,5
3,0,10,2.4,25.619694143605624,0.0,7,5
3,0,11,2.6,16.60129454433822,0.0,7,5
3,0,12,2.4,21.862501063694374,0.0,7,5
3,0,13,2.6,19.79110478849577,0.0,7,5
3,0,14,2.4,19.78507915216638,0.0,7,5
3,0,15,2.2,21.555561310039426,0.0,7,5
3,0,16,2.8,15.497538781942708,0.0,7,5
4,0,1,2.6,21.278375364695062,0.0,7,5
4,0,2,2.4,20.718780980015637,0.0,7,5
4,0,3,2.6,19.797735771935095,0.0,7,5
4,0,4,2.6,18.457303298652104,0.0,7,5
4,0,5,2.4,23.382746047226235,0.0,7,5
4,0,6,2.6,18.762678762273904,0.0,7,5
4,0,7,2.8,20.15587333185666,0.0,7,5
4,0,8,2.2,24.58574636241016,0.0,7,5
4,0,9,2.2,29.241460519057277,0.0,7,5
4,0,10,2.2,18.141201665915496,0.0,7,5
4,0,11,2.4,19.816758130683738,0.0,7,5
4,0,12,2.6,15.686155295304044,0.0,7,5
4,0,13,2.2,20.919237320951016,0.0,7,5
4,0,14,2.8,19.582822439969895,0.0,7,5
4,0,15,2.4,20.116913185560577,0.0,7,5
4,0,16,2.4,18.06126924275342,0.0,7,5
5,0,1,2.4,22.525267755899748,0.0,7,5
5,0,2,2.8,19.521832395031055,0.0,7,5
5,0,3,2.6,20.002662916016387,0.0,7,5
5,0,4,2.6,19.80716433040099,0.0,7,5
5,0,5,2.6,25.669218778129924,0.0,7,5
5,0,6,2.4,22.65426115892686,0.0,7,5
5,0,7,2.2,18.43466438809142,0.0,7,5
5,0,8,2.8,15.667570225561999,0.0,7,5
5,0,9,2.4,21.558462556262427,0.0,7,5
5,0,10,2.6,19.884244169380448,0.0,7,5
5,0,11,2.2,24.106984871835433,0.0,7,5
5,0,12,2.4,21.911933977814904,0.0,7,5
5,0,13,2.4,20.78078554341222,0.0,7,5
5,0,14,2.6,20.973036021058842,0.0,7,5
5,0,15,2.0,27.926024926796416,0.0,7,5
5,0,16,2.2,31.311477943562515,0.0,7,5
1,1,1,2.6,23.565883217761765,0.0,7,5
1,1,2,2.6,21.096224230349495,0.0,7,5
1,1,3,2.6,20.623823685919973,0.0,7,5
1,1,4,2.4,26.44926783063066,0.0,7,5
1,1,5,2.4,20.348028597915757,0.0,7,5
1,1,6,3.0,17.06259352200685,0.0,7,5
1,1,7,2.4,21.540721988949446,0.0,7,5
1,1,8,2.6,16.311585170444868,0.0,7,5
1,1,9,2.4,20.141334740656596,0.0,7,5
1,1,10,2.4,17.347237166686284,0.0,7,5
1,1,11,2.4,22.594525216497463,0.0,7,5
1,1,12,2.2,24.34395541091183,0.0,7,5
1,1,13,2.4,19.49636058112726,0.0,7,5
1,1,14,2.6,19.27269791180624,0.0,7,5
1,1,15,2.8,21.01040209059302,0.0,7,5
1,1,16,2.2,31.869424236623484,0.0,6,5
2,1,1,2.4,19.834738226782783,0.0,7,5
2,1,2,2.4,19.604795744352693,0.0,7,5
2,1,3,2.8,16.045173877603915,0.0,7,5
