session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,gaze_scale
1,0,1,4.0,11.310876820857409,0.0,7,15
1,0,2,3.2,11.369533169950653,0.0,7,15
1,0,3,3.0,11.78045883142595,0.0,7,15
1,0,4,2.8,9.063787496275042,0.0,7,15
1,0,5,2.8,12.035656842756058,0.0,7,15
1,0,6,2.8,9.979005297802056,0.0,7,15
1,0,7,2.8,11.901316997949264,0.0,7,15
1,0,8,2.4,12.933436880749296,0.0,7,15
1,0,9,2.6,13.697495040390852,0.0,7,15
1,0,10,2.6,12.394395708844767,0.0,7,15
1,0,11,2.8,13.43039979315789,0.0,7,15
1,0,12,2.6,16.948417137362625,0.0,7,15
1,0,13,2.6,13.656971552896357,0.0,7,15
1,0,14,2.8,12.140425546969574,0.0,7,15
1,0,15,2.8,10.919510049427922,0.0,7,15
1,0,16,2.8,10.297440794509669,0.0,7,15
1,0,17,2.8,12.88090734195888,0.0,7,15
1,0,18,2.8,9.300416910746154,0.0,7,15
1,0,19,2.6,9.100877882532036,0.0,7,15
1,0,20,2.8,16.70692389374129,0.0,7,15
1,0,21,2.8,10.065154269211503,0.0,7,15
1,0,22,2.8,8.975453181217555,0.0,7,15
2,0,1,2.4,14.938538217178152,0.0,7,15
2,0,2,2.8,11.3392128776932,0.0,7,15
2,0,3,3.8,9.002487333080449,0.5,10,15
2,0,4,2.8,9.338382612216623,0.0,7,15
2,0,5,2.8,10.231392597169059,0.0,7,15
2,0,6,2.8,11.790173900470087,0.0,7,15
2,0,7,2.8,12.65972813185703,0.0,7,15
2,0,8,2.8,10.55692351117833,0.0,7,15
2,0,9,2.8,11.825633698693283,0.0,7,15
2,0,10,2.6,15.113986198043449,0.0,7,15
2,0,11,2.8,9.635494675908374,0.0,7,15
2,0,12,2.6,15.401265408355956,0.0,7,15
2,0,13,2.6,11.205847563428918,0.0,7,15
2,0,14,2.6,12.339639903434103,0.0,7,15
2,0,15,2.8,10.366581625897888,0.0,7,15
2,0,16,2.8,11.561461087517497,0.0,7,15
2,0,17,2.6,14.460545922224073,0.0,7,15
2,0,18,2.4,12.441600085895303,0.0,7,15
2,0,19,2.8,12.853881103653695,0.0,7,15
2,0,20,2.8,10.277838260768148,0.0,7,15
2,0,21,2.6,10.822799435953161,0.0,7,15
2,0,22,3.0,8.761048301155416,0.0,7,15
3,0,1,2.8,10.038492210268007,0.0,7,15
3,0,2,2.8,11.771890591336069,0.0,7,15
