Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,3.0,2.0,1,picture,bad work do excited who ,bad work ,work,55,5.429,-0.0408,1639334263.95,5.5929999351501465
1,3.0,2.0,2,picture,bad work do excited who ,bad work ,work,55,5.429,0.504,1639334266.135,2.184999942779541
1,3.0,2.0,3,picture,bad work do excited who ,bad work ,work,55,5.429,0.1797,1639334271.53,5.394999980926514
1,3.0,2.0,4,picture,bad work do excited who ,bad work ,work,55,5.429,-0.0239,1639334274.207,2.677000045776367
1,3.0,3.0,1,picture,bad work do excited who ,bad work do ,do,23,5.429,0.3434,1639334278.814,4.60699987411499
1,3.0,3.0,2,picture,bad work do excited who ,bad work do ,do,23,5.429,0.1757,1639334279.407,0.5930001735687256
1,3.0,3.0,3,picture,bad work do excited who ,bad work do ,do,23,5.429,-0.2295,1639334281.881,2.4739999771118164
1,3.0,3.0,4,picture,bad work do excited who ,bad work do ,do,23,5.429,0.0629,1639334284.654,2.7730000019073486
1,3.0,4.0,1,picture,bad work do excited who ,bad work do excited ,excited,69,5.429,-0.1108,1639334293.359,8.704999923706055
1,3.0,4.0,2,picture,bad work do excited who ,bad work do excited ,excited,69,5.429,-0.1197,1639334297.83,4.4709999561309814
1,3.0,4.0,3,picture,bad work do excited who ,bad work do excited ,excited,69,5.429,0.1068,1639334300.617,2.7870001792907715
1,3.0,5.0,1,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,0.7186,1639334307.27,6.6529998779296875
1,3.0,5.0,2,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,-0.0239,1639334307.806,0.5360000133514404
1,3.0,5.0,3,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,-0.1596,1639334313.51,5.703999996185303
1,3.0,5.0,4,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,1.5519,1639334314.825,1.315000057220459
1,3.0,5.0,5,picture,bad work do excited who ,bad work do excited hard ,who,53,5.429,1.3094,1639334318.822,3.996999979019165
1,3.0,6.0,1,picture,bad work do excited who ,bad work do excited hard .,.,.,5.429,0.2505,1639334322.121,3.2990000247955322
1,3.0,6.0,2,picture,bad work do excited who ,bad work do excited hard .,.,.,5.429,-0.6775,1639334322.511,0.3899998664855957
1,3.0,6.0,3,picture,bad work do excited who ,bad work do excited hard .,.,.,5.429,-0.3353,1639334326.095,3.5840001106262207
1,3.0,6.0,4,picture,bad work do excited who ,bad work do excited hard .,.,.,5.429,0.1518,1639334331.462,5.366999864578247
1,3.0,7.0,1,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,0.8942,1639334335.406,3.944000005722046
1,3.0,7.0,2,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,-0.3203,1639334340.15,4.744000196456909
1,3.0,7.0,3,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,-0.0249,1639334342.166,2.0159997940063477
1,3.0,7.0,4,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,0.2465,1639334343.477,1.311000108718872
1,3.0,7.0,5,picture,bad work do excited who ,bad work do excited hard ..,.,.,5.429,-0.1896,1639334346,2.5230000019073486
1,4.0,1.0,1,picture,mine read here work turn ,mine ,mine,20,5.429,0.0659,1639334352.256,6.25600004196167
1,4.0,1.0,2,picture,mine read here work turn ,mine ,mine,20,5.429,0.024,1639334353.335,1.0789999961853027
1,4.0,1.0,3,picture,mine read here work turn ,mine ,mine,20,5.429,0.1827,1639334356.215,2.879999876022339
1,4.0,2.0,1,picture,mine read here work turn ,mine on ,read,61,5.429,-0.5908,1639334365.719,9.504000186920166
1,4.0,2.0,2,picture,mine read here work turn ,mine on ,read,61,5.429,-0.0958,1639334366.215,0.495999813079834
1,4.0,2.0,3,picture,mine read here work turn ,mine on ,read,61,5.429,-0.6716,1639334370.117,3.9020001888275146
1,4.0,2.0,4,picture,mine read here work turn ,mine on ,read,61,5.429,-0.4071,1639334370.782,0.6649999618530273
1,4.0,2.0,5,picture,mine read here work turn ,mine on ,read,61,5.429,-0.1836,1639334375.806,5.023999929428101
1,4.0,3.0,1,picture,mine read here work turn ,mine on here ,here,51,5.429,-0.0089,1639334382.062,6.25600004196167
1,4.0,3.0,2,picture,mine read here work turn ,mine on here ,here,51,5.429,0.0021,1639334385.992,3.930000066757202
1,4.0,3.0,3,picture,mine read here work turn ,mine on here ,here,51,5.429,0.1847,1639334388.855,2.86299991607666
1,4.0,4.0,1,picture,mine read here work turn ,mine on here work ,work,55,5.429,-0.1038,1639334394.367,5.51200008392334
1,4.0,4.0,2,picture,mine read here work turn ,mine on here work ,work,55,5.429,0.1937,1639334396.264,1.8969998359680176
1,4.0,4.0,3,picture,mine read here work turn ,mine on here work ,work,55,5.429,-0.0059,1639334398.944,2.680000066757202
1,4.0,4.0,4,picture,mine read here work turn ,mine on here work ,work,55,5.429,0.033,1639334401.664,2.7200000286102295
1,4.0,5.0,1,picture,mine read here work turn ,mine on here work something_different ,turn,1',5.429,-0.6945,1639334408.456,6.79200005531311
1,4.0,5.0,2,picture,mine read here work turn ,mine on here work something_different ,turn,1',5.429,0.1917,1639334412.263,3.806999921798706
1,4.0,5.0,3,picture,mine read here work turn ,mine on here work something_different ,turn,1',5.429,0.7905,1639334412.823,0.559999942779541
1,4.0,5.0,4,picture,mine read here work turn ,mine on here work something_different ,turn,1',5.429,1.8673,1639334414.462,1.6389999389648438
1,4.0,5.0,5,picture,mine read here work turn ,mine on here work something_different ,turn,1',5.429,-0.0219,1639334418.368,3.9060001373291016
1,4.0,5.0,6,picture,mine read here work turn ,mine on here work something_different ,turn,1',5.429,1.99,1639334420.144,1.7760000228881836
1,4.0,5.0,7,picture,mine read here work turn ,mine on here work something_different ,turn,1',5.429,-0.454,1639334420.735,0.5909998416900635
1,4.0,5.0,8,picture,mine read here work turn ,mine on here work something_different ,turn,1',5.429,-0.5409,1639334425.408,4.67300009727478
1,4.0,6.0,1,picture,mine read here work turn ,mine on here work something_different .,.,.,5.429,0.1188,1639334428.59,3.181999921798706
1,4.0,6.0,2,picture,mine read here work turn ,mine on here work something_different .,.,.,5.429,0.0918,1639334433.883,5.292999982833862
1,4.0,6.0,3,picture,mine read here work turn ,mine on here work something_different .,.,.,5.429,-0.0488,1639334436.542,2.6590001583099365
1,4.0,7.0,1,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,-0.3513,1639334439.558,3.0160000324249268
1,4.0,7.0,2,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,1.6537,1639334440.688,1.1299998760223389
1,4.0,7.0,3,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,2.3802,1639334442.535,1.8470001220703125
1,4.0,7.0,4,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,-0.0498,1639334444.022,1.4869999885559082
1,4.0,7.0,5,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,-0.2584,1639334449.291,5.268999814987183
1,4.0,7.0,6,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,0.0639,1639334449.775,0.48400020599365234
1,4.0,7.0,7,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,0.3104,1639334454.022,4.246999979019165
1,4.0,7.0,8,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,1.4232,1639334455.216,1.194000005722046
1,4.0,7.0,9,picture,mine read here work turn ,mine on here work something_different .excited ,.,69,5.429,0.525,1639334458.436,3.2200000286102295
1,4.0,8.0,1,picture,mine read here work turn ,mine on here work something_different .excited .,.,.,5.429,-0.3672,1639334466.583,8.146999835968018
1,4.0,8.0,2,picture,mine read here work turn ,mine on here work something_different .excited .,.,.,5.429,0.1268,1639334467.438,0.8550000190734863
1,4.0,8.0,3,picture,mine read here work turn ,mine on here work something_different .excited .,.,.,5.429,0.8533,1639334473.526,6.088000059127808
1,4.0,8.0,4,picture,mine read here work turn ,mine on here work something_different .excited .,.,.,5.429,-0.0698,1639334476.16,2.634000062942505
1,4.0,8.0,5,picture,mine read here work turn ,mine on here work something_different .excited .,.,.,5.429,0.1957,1639334500.827,24.66699981689453
1,4.0,9.0,1,picture,mine read here work turn ,mine on here work something_different .excited ..,.,.,5.429,0.0968,1639334503.967,3.140000104904175
1,4.0,9.0,2,picture,mine read here work turn ,mine on here work something_different .excited ..,.,.,5.429,0.0968,1639334506.767,2.799999952316284
1,4.0,9.0,3,picture,mine read here work turn ,mine on here work something_different .excited ..,.,.,5.429,0.0799,1639334509.551,2.7840001583099365
1,4.0,9.0,4,picture,mine read here work turn ,mine on here work something_different .excited ..,.,.,5.429,0.2954,1639334512.527,2.9759998321533203
1,5.0,1.0,1,picture,happy turn stop give here ,happy ,happy,5',5.429,-0.2724,1639334517.398,4.871000051498413
1,5.0,1.0,2,picture,happy turn stop give here ,happy ,happy,5',5.429,0.039,1639334520.75,3.3519999980926514
1,5.0,1.0,3,picture,happy turn stop give here ,happy ,happy,5',5.429,0.015,1639334523.446,2.696000099182129
