system,system_label,users,phrase_attempts,completed_phrases,macro_phrase_completion_rate,macro_completion_by_60s,macro_completion_by_120s,macro_completion_by_180s,macro_mean_correction_rate_percent,macro_mean_attempt_clicks,macro_mean_attempt_time_s,macro_successful_mean_clicks,macro_successful_mean_completion_time_s
og_nomon,OG Nomon,6,600,584,0.9733333333333333,0.3,0.7050000000000001,0.87,6.366793333333333,55.905,98.84168855917915,55.440382874576095,98.04548101011035
oneclick,OneClick,6,600,545,0.9083333333333333,0.5,0.8383333333333334,0.8883333333333333,25.24797,25.316666666666666,75.54546250000003,23.62307399463479,69.87914882898104
