user_id,paired_phrase_trials,both_completed,og_only,oneclick_only,both_failed,mutually_completed_phrase_trials,mutually_completed_og_mean_clicks,mutually_completed_oneclick_mean_clicks,mutually_completed_mean_click_reduction_percent,mutually_completed_og_mean_time_s,mutually_completed_oneclick_mean_time_s,mutually_completed_mean_time_reduction_percent
ALL,600,533,51,12,4,533,54.36210131332083,22.31144465290807,51.53948756269023,89.78870012893981,65.70238273921203,13.450044752524096
A,100,96,1,2,1,96,48.6875,18.822916666666668,54.88163684719996,60.783610782786205,54.22553958333335,-5.447187847614831
B,100,99,1,0,0,99,68.88888888888889,18.04040404040404,69.75916518336267,62.20886007342102,51.81813232323231,4.35373087189329
C,100,91,5,4,0,91,53.0989010989011,26.76923076923077,42.12938990756292,131.8652756438412,82.1424846153846,28.738458396760418
D,100,99,0,1,0,99,48.707070707070706,17.262626262626263,57.51628384508565,76.67795232931313,48.52692626262627,24.235598271309257
F,100,93,5,2,0,93,55.344086021505376,22.193548387096776,54.39784945694451,90.70208270051903,65.66164838709679,18.3300258571618
G,100,55,39,3,3,55,48.72727272727273,38.0,12.888469066950035,142.49676965398072,114.51014545454566,9.846694226692193
